entry,name,body_size,called_functions,callers
"0x8001695c","FUN_8001695c","484","FUN_80016138;FUN_80016190;FUN_8007d254;FUN_8007df30","FUN_80016f10"
"0x80016bb4","FUN_80016bb4","164","FUN_80016138;FUN_80016190;FUN_80016200",""
"0x80016cd0","FUN_80016cd0","164","FUN_80016138;FUN_80016190;FUN_80016320",""
"0x80016dc8","FUN_80016dc8","208","FUN_80016138;FUN_80016190;FUN_8007d254",""
"0x80016f10","FUN_80016f10","32","FUN_8001695c",""
"0x80016f30","FUN_80016f30","548","FUN_80011814;FUN_8001cb6c;FUN_8007a998;FUN_8007b0a4",""
"0x8001720c","FUN_8001720c","200","FUN_8001cb6c;FUN_8007a998;FUN_8007b0a4",""
"0x800172d4","FUN_800172d4","500","FUN_80011814;FUN_8001cb6c;FUN_8007a998;FUN_8007acb8;FUN_800937c4",""
"0x800174c8","FUN_800174c8","144","","FUN_80017a8c;FUN_80017adc;FUN_80017be8;FUN_80017c48;FUN_80017ed0"
"0x80017558","FUN_80017558","228","","FUN_80017ca8"
"0x8001763c","FUN_8001763c","988","FUN_800937c4","FUN_80017adc;FUN_80017ca8"
"0x80017a18","FUN_80017a18","116","","FUN_80017ca8"
"0x80017a8c","FUN_80017a8c","80","FUN_800174c8;FUN_8001cb6c",""
"0x80017adc","FUN_80017adc","268","FUN_800174c8;FUN_8001763c",""
"0x80017be8","FUN_80017be8","96","FUN_800174c8",""
"0x80017c48","FUN_80017c48","96","FUN_800174c8",""
"0x80017ca8","FUN_80017ca8","552","FUN_80017558;FUN_8001763c;FUN_80017a18",""
"0x80017ed0","FUN_80017ed0","200","FUN_800174c8",""
"0x80017f98","FUN_80017f98","48","",""
"0x80017fc8","FUN_80017fc8","1456","FUN_80011814;FUN_80011860;FUN_8001194c;FUN_80012170;FUN_800192ec;FUN_80019420;FUN_8001a624;FUN_8001b044;FUN_8001cb6c;FUN_80094044",""
"0x80018578","FUN_80018578","216","FUN_80011814;FUN_80011a48;FUN_80011c1c;FUN_80011d44;FUN_8007df30","FUN_8001a790;FUN_8001b9b0;FUN_8001be44"
