final_psx_address,beta_psx_address,repo_function,file,line,markers,comment,mapping_status,ghidra_entry,ghidra_name,body_size,called_functions,callers,rename_candidate
0x800531b8,0x80052d54,SearchObjectControl,GAME/PICKUP.C,175,,"52D54, 531B8",mapped,0x800531b8,FUN_800531b8,812,FUN_8003bb50;FUN_80041da4;FUN_800422ec;FUN_80042440;FUN_80053800;FUN_8007ef48,,yes
0x800534e4,0x80053080,SearchObjectCollision,GAME/PICKUP.C,170,,"53080, 534E4",mapped,0x800534e4,FUN_800534e4,796,FUN_80042440;FUN_8007ccb4;FUN_8007dcd0;FUN_8007e16c;FUN_8007ef48;FUN_8008793c,,yes
0x80053800,0x8005339c,CollectCarriedItems,GAME/PICKUP.C,148,,"5339C, 53800",mapped,0x80053800,FUN_80053800,140,FUN_8003bb50;FUN_80041da4,FUN_800531b8,yes
0x8005388c,0x80053428,MonitorScreenCollision,GAME/PICKUP.C,93,<;<;F,"53428(<), 5388C(<) (F)",mapped,0x8005388c,FUN_8005388c,632,FUN_80056648;FUN_8007ccb4;FUN_8007dcd0;FUN_8007e16c;FUN_8008793c,,yes
0x80053b04,0x800536a0,WriteSG,GAME/SAVEGAME.C,87,F,"536A0, 53B04 (F)",mapped,0x80053b04,FUN_80053b04,64,,FUN_80053f10,yes
0x80053b44,0x800536e0,ReadSG,GAME/SAVEGAME.C,395,F,"536E0, 53B44 (F)",mapped,0x80053b44,FUN_80053b44,64,,FUN_80054f6c,yes
0x80053b84,0x80053720,CheckSumValid,GAME/SAVEGAME.C,390,<;<;F,"53720(<), 53B84(<) (F)",repo_only,,,,,,
0x80053b9c,0x80053738,SaveLaraData,GAME/SAVEGAME.C,348,<;<;F,"53738(<), 53B9C(<) (F)",mapped,0x80053b9c,FUN_80053b9c,408,FUN_8005f6ac,FUN_80055f5c,yes
0x80053d34,0x800538d0,RestoreLaraData,GAME/SAVEGAME.C,290,<;<;F,"538D0(<), 53D34(<) (F)",mapped,0x80053d34,FUN_80053d34,476,FUN_80042000;FUN_8005b160;FUN_8005f6ac,FUN_80055fec,yes
0x80053f10,0x80053aac,SaveLevelData,GAME/SAVEGAME.C,100,,"53AAC, 53F10",mapped,0x80053f10,FUN_80053f10,4188,FUN_80053b04,FUN_80055f5c,yes
0x80054f6c,0x80054b08,RestoreLevelData,GAME/SAVEGAME.C,82,,"54B08, 54F6C",mapped,0x80054f6c,FUN_80054f6c,4080,FUN_8001e5f8;FUN_8001ebc8;FUN_8001f9e8;FUN_80041da4;FUN_80042000;FUN_80042040;FUN_80042440;FUN_8004e370;FUN_80053b44;FUN_8007a998;FUN_8007acb8;FUN_8007e64c,FUN_80055fec,yes
0x80055f5c,0x80055af8,sgSaveGame,GAME/SAVEGAME.C,63,<;<,"55AF8(<), 55F5C(<)",mapped,0x80055f5c,FUN_80055f5c,144,FUN_80053b9c;FUN_80053f10;FUN_8005f6ac;FUN_8005f6d0,,yes
0x80055fec,0x80055b88,sgRestoreGame,GAME/SAVEGAME.C,52,F,"55B88, 55FEC (F)",mapped,0x80055fec,FUN_80055fec,88,FUN_80053d34;FUN_80054f6c,FUN_80010a84,yes
0x80056044,0x80055be0,SayNo,GAME/SOUND.C,19,<;<;F,"55BE0(<), 56044(<) (F)",mapped,0x80056044,FUN_80056044,92,FUN_800937c4,FUN_8001d6cc;FUN_8002b478;FUN_8003e398;FUN_8003fdf4;FUN_80057f6c;FUN_8006038c,yes
0x800560dc,0x80055c3c,TestCollision,GAME/SPHERE.C,15,<;<;F,"55C3C(<), 560DC(<) (F)",mapped,0x800560dc,FUN_800560dc,424,FUN_8009047c,FUN_8002a024;FUN_8002a814;FUN_8002b478;FUN_8004fb00;FUN_8005bbcc;FUN_8007e16c;FUN_8007e72c,yes
0x80056284,0x80055de4,SwitchTrigger,GAME/SWITCH.C,457,,"55DE4, 56284",mapped,0x80056284,FUN_80056284,360,FUN_800422ec,,yes
0x800563ec,0x80055f4c,GetSwitchTrigger,GAME/SWITCH.C,423,F,"55F4C, 563EC (F)",mapped,0x800563ec,FUN_800563ec,308,FUN_8007a998;FUN_8007acb8,FUN_8001fe70;FUN_800433e0;FUN_800566dc;FUN_800576b0;FUN_8005cd38,yes
0x80056520,0x80056080,GetKeyTrigger,GAME/SWITCH.C,365,<;<;F,"56080(<), 56520(<) (F)",mapped,0x80056520,FUN_80056520,296,FUN_8007a998;FUN_8007acb8,FUN_80052984,yes
0x80056648,0x800561a8,TestTriggersAtXYZ,GAME/SWITCH.C,358,<;<;F,"561A8(<), 56648(<) (F)",mapped,0x80056648,FUN_80056648,148,FUN_8001ebc8;FUN_8007a998;FUN_8007acb8,FUN_8002bf50;FUN_800383d0;FUN_8003a568;FUN_800436a0;FUN_80050578;FUN_8005388c;FUN_80058df8,yes
0x800566dc,0x8005623c,SwitchControl,GAME/SWITCH.C,352,,"5623C, 566DC",mapped,0x800566dc,FUN_800566dc,564,FUN_80042440;FUN_800563ec;FUN_8005fa4c;FUN_8007a998;FUN_8007e64c;FUN_8007ef48;FUN_800908a4,,yes
0x80056910,0x80056470,SwitchCollision,GAME/SWITCH.C,346,,"56470, 56910",mapped,0x80056910,FUN_80056910,1104,FUN_80042440;FUN_8007ccb4;FUN_8007dcd0;FUN_8007e16c;FUN_8007ef48;FUN_8008793c,,yes
0x80056d60,0x800568c0,SwitchCollision2,GAME/SWITCH.C,340,,"568C0, 56D60",mapped,0x80056d60,FUN_80056d60,364,FUN_80042440;FUN_8007ccb4;FUN_8007dcd0;FUN_8007ef48;FUN_8007f580,,yes
0x80056ecc,0x80056a2c,UnderwaterSwitchCollision,GAME/SWITCH.C,334,,"56A2C, 56ECC",mapped,0x80056ecc,FUN_80056ecc,620,FUN_80042440;FUN_8007ccb4;FUN_8007dcd0,,yes
0x80057138,0x80056c98,PulleyCollision,GAME/SWITCH.C,328,,"56C98, 57138",mapped,0x80057138,FUN_80057138,516,FUN_80042440;FUN_8007ccb4;FUN_8007dcd0;FUN_8007e16c,,yes
0x8005733c,0x80056e9c,TurnSwitchControl,GAME/SWITCH.C,322,,"56E9C, 5733C",mapped,0x8005733c,FUN_8005733c,884,FUN_800422ec;FUN_8007ef48;FUN_800937c4,,yes
0x800576b0,0x80057210,TurnSwitchCollision,GAME/SWITCH.C,203,F,"57210, 576B0 (F)",mapped,0x800576b0,FUN_800576b0,1252,FUN_80042440;FUN_800563ec;FUN_8005fa4c;FUN_8007ccb4;FUN_8007dcd0;FUN_8007e044;FUN_8007e1fc,,yes
0x80057b94,0x800576f4,RailSwitchCollision,GAME/SWITCH.C,197,,"576F4, 57B94",mapped,0x80057b94,FUN_80057b94,652,FUN_80042440;FUN_8007ccb4;FUN_8007dcd0;FUN_8007e16c;FUN_8007ef48,,yes
0x80057e20,0x80057980,JumpSwitchCollision,GAME/SWITCH.C,191,,"57980, 57E20",mapped,0x80057e20,FUN_80057e20,332,FUN_80042440;FUN_8007dcd0;FUN_8007dea4,,yes
0x80057f6c,0x80057acc,CrowbarSwitchCollision,GAME/SWITCH.C,185,,"57ACC, 57F6C",mapped,0x80057f6c,FUN_80057f6c,1004,FUN_80042440;FUN_80056044;FUN_8007ccb4;FUN_8007dcd0;FUN_8007e16c;FUN_8007ef48,,yes
0x80058358,0x80057eb8,FullBlockSwitchControl,GAME/SWITCH.C,179,,"57EB8, 58358",mapped,0x80058358,FUN_80058358,256,FUN_8007ef48,,yes
0x80058458,0x80057fb8,FullBlockSwitchCollision,GAME/SWITCH.C,173,,"57FB8, 58458",mapped,0x80058458,FUN_80058458,544,FUN_80042440;FUN_8007ccb4;FUN_8007dcd0;FUN_8007e16c;FUN_8007ef48,,yes
0x80058678,0x800581d8,CogSwitchControl,GAME/SWITCH.C,167,,"581D8, 58678",mapped,0x80058678,FUN_80058678,380,FUN_800422ec;FUN_8007ef48;FUN_800937c4,,yes
0x800587f4,0x80058354,CogSwitchCollision,GAME/SWITCH.C,161,,"58354, 587F4",mapped,0x800587f4,FUN_800587f4,800,FUN_80042440;FUN_8007a998;FUN_8007acb8;FUN_8007ccb4;FUN_8007dcd0;FUN_8007e16c,,yes
0x80058b14,0x80058674,CrowDoveSwitchControl,GAME/SWITCH.C,132,<;F,"58674(<), 58B14 (F)",mapped,0x80058b14,FUN_80058b14,204,FUN_800209f0;FUN_800422ec;FUN_8007ef48;FUN_800937c4,,yes
0x80058be0,0x80058740,CrowDoveSwitchCollision,GAME/SWITCH.C,127,,"58740, 58BE0",mapped,0x80058be0,FUN_80058be0,536,FUN_80042440;FUN_8007ccb4;FUN_8007dcd0;FUN_8007e16c,,yes
0x80058df8,0x80058958,ProcessExplodingSwitchType8,GAME/SWITCH.C,115,F,"58958, 58DF8 (F)",mapped,0x80058df8,FUN_80058df8,196,FUN_800209f0;FUN_80056648;FUN_800908a4,FUN_8001fe70,yes
0x80058ebc,0x80058a1c,OpenTrapDoor,GAME/TRAPS.C,86,<;F,"58A1C(<), 58EBC (F)",mapped,0x80058ebc,FUN_80058ebc,332,,FUN_80059184,yes
0x80059008,0x80058b68,CloseTrapDoor,GAME/TRAPS.C,122,<;<;F,"58B68(<), 59008(<) (F)",mapped,0x80059008,FUN_80059008,380,,FUN_80059184,yes
0x80059184,0x80058d08,TrapDoorControl,GAME/TRAPS.C,169,<;F,"58D08(<), 59184 (F)",mapped,0x80059184,FUN_80059184,376,FUN_80058ebc;FUN_80059008;FUN_8005fa4c;FUN_8007ef48,,yes
