final_psx_address,beta_psx_address,repo_function,file,line,markers,comment
0x8001ac90,0x8001ab5c,lara_as_pickupflare,GAME/LARA.C,1618,<;<;F,"1AB5C(<), 1AC90(<) (F)"
0x8001ad20,0x8001abec,lara_as_switchon,GAME/LARA.C,1607,<;<;F,"1ABEC(<), 1AD20(<) (F)"
0x8001ad88,0x8001ac54,lara_as_switchoff,GAME/LARA.C,1596,<;<;F,"1AC54(<), 1AD88(<) (F)"
0x8001adf0,0x8001acbc,lara_as_usekey,GAME/LARA.C,1586,<;<;F,"1ACBC(<), 1ADF0(<) (F)"
0x8001ae4c,0x8001ad18,lara_as_usepuzzle,GAME/LARA.C,1564,<;<;F,"1AD18(<), 1AE4C(<) (F)"
0x8001af10,0x8001addc,lara_as_special,GAME/LARA.C,1557,<;<;F,"1ADDC(<), 1AF10(<) (F)"
0x8001af3c,0x8001ae08,lara_as_swandive,GAME/LARA.C,1549,<;<;F,"1AE08(<), 1AF3C(<) (F)"
0x8001af80,0x8001ae4c,lara_as_fastdive,GAME/LARA.C,1540,<;<;F,"1AE4C(<), 1AF80(<) (F)"
0x8001affc,0x8001aec8,lara_as_gymnast,GAME/LARA.C,1534,<;<;F,"1AEC8(<), 1AFFC(<) (F)"
0x8001b018,0x8001aee4,lara_as_waterout,GAME/LARA.C,1527,<;<;F,"1AEE4(<), 1B018(<) (F)"
0x8001b044,0x8001af10,lara_as_wade,GAME/LARA.C,1482,F,"1AF10, 1B044 (F)"
0x8001b16c,0x8001b038,lara_as_deathslide,GAME/LARA.C,1457,F,"1B038, 1B16C (F)"
0x8001b230,0x8001b0fc,lara_as_controlled,GAME/LARA.C,1444,<;<;F,"1B0FC(<), 1B230(<) (F)"
0x8001b2b4,0x8001b180,lara_as_controlledl,GAME/LARA.C,1437,<;<;F,"1B180(<), 1B2B4(<) (F)"
0x8001b2e8,0x8001b1b4,lara_col_turnswitch,GAME/LARA.C,1415,<;<;F,"1B1B4(<), 1B2E8(<) (F)"
0x8001b3bc,0x8001b288,lara_as_pulley,GAME/LARA.C,1364,F,"1B288, 1B3BC (F)"
0x8001b51c,0x8001b3e8,lara_col_walk,GAME/LARA.C,1272,F,"1B3E8, 1B51C (F)"
0x8001b780,0x8001b64c,lara_col_run,GAME/LARA.C,1191,F,"1B64C, 1B780 (F)"
0x8001b9b0,0x8001b87c,lara_col_pose,GAME/LARA.C,1186,<;<;F,"1B87C(<), 1B9B0(<) (F)"
0x8001b9d0,0x8001b89c,lara_col_fastback,GAME/LARA.C,1146,F,"1B89C, 1B9D0 (F)"
0x8001baf8,0x8001b9c4,lara_col_turn_r,GAME/LARA.C,1115,F,"1B9C4, 1BAF8 (F)"
0x8001bbf0,0x8001babc,lara_col_turn_l,GAME/LARA.C,1110,<;<;F,"1BABC(<), 1BBF0(<) (F)"
0x8001bc10,0x8001badc,lara_col_death,GAME/LARA.C,1090,<;<;F,"1BADC(<), 1BC10(<) (F)"
0x8001bcbc,0x8001bb88,lara_col_fastfall,GAME/LARA.C,1055,F,"1BB88, 1BCBC (F)"
0x8001bda8,0x8001bc74,lara_col_splat,GAME/LARA.C,1037,<;<;F,"1BC74(<), 1BDA8(<) (F)"
0x8001be44,0x8001bd10,lara_col_land,GAME/LARA.C,1032,<;<;F,"1BD10(<), 1BE44(<) (F)"
0x8001be64,0x8001bd30,lara_col_compress,GAME/LARA.C,998,F,"1BD30, 1BE64 (F)"
0x8001bf6c,0x8001be38,lara_col_back,GAME/LARA.C,951,F,"1BE38, 1BF6C (F)"
0x8001c0e4,0x8001bfb0,lara_col_stepright,GAME/LARA.C,918,F,"1BFB0, 1C0E4 (F)"
0x8001c21c,0x8001c0e8,lara_col_stepleft,GAME/LARA.C,913,<;<;F,"1C0E8(<), 1C21C(<) (F)"
0x8001c264,0x8001c130,lara_col_backjump,GAME/LARA.C,901,<;<;F,"1C130(<), 1C264(<) (F)"
0x8001c290,0x8001c15c,lara_col_rightjump,GAME/LARA.C,895,<;<;F,"1C15C(<), 1C290(<) (F)"
0x8001c2bc,0x8001c188,lara_col_leftjump,GAME/LARA.C,889,<;<;F,"1C188(<), 1C2BC(<) (F)"
0x8001c2e8,0x8001c1b4,lara_col_fallback,GAME/LARA.C,863,<;<;F,"1C1B4(<), 1C2E8(<) (F)"
0x8001c3b8,0x8001c284,lara_col_slideback,GAME/LARA.C,857,<;<;F,"1C284(<), 1C3B8(<) (F)"
0x8001c3b8,0x8001c108,lara_col_slide,GAME/LARA.C,907,<;<;F,"1C108(<), 1C3B8(<) (F)"
0x8001c3e4,0x8001c2b0,lara_col_roll,GAME/LARA.C,826,F,"1C2B0, 1C3E4 (F)"
0x8001c4b8,0x8001c384,lara_col_roll2,GAME/LARA.C,786,F,"1C384, 1C4B8 (F)"
0x8001c5d4,0x8001c4a0,lara_col_swandive,GAME/LARA.C,763,<;<;F,"1C4A0(<), 1C5D4(<) (F)"
