priority_rank,bucket,score,final_psx_address,beta_psx_address,repo_function,file,line,status,markers,mapping_status,ghidra_entry,ghidra_name,body_size,caller_count,callee_count,runtime_focus,nd,reason,next_step
34,P0,700,0x8005f34c,0x8005f34c,GPU_GetScreenPosition,SPEC_PSXPC_N/MISC.C,358,debugged,D;F;ND,repo_only,,,0,0,0,no,yes,marqué ND; repo-only: mapping à vérifier,"Vérifier comportement, retirer ND seulement avec preuve/debug documenté."
35,P0,520,0x8005e894,0x8005e894,show_game_malloc_totals,SPEC_PSX/MALLOC.C,96,debugged,D;F;ND,repo_only,,,0,0,0,no,yes,marqué ND; repo-only: mapping à vérifier,"Vérifier comportement, retirer ND seulement avec preuve/debug documenté."
36,P1,11749,0x800937c4,0x80091780,SoundEffect,GAME/EFFECTS.C,625,decompiled,,mapped,0x800937c4,FUN_800937c4,1404,75,7,no,no,adresse Ghidra disponible; 75 caller(s); 7 callee(s); body_size 1404; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
37,P1,11749,0x800937c4,0x80091780,SoundEffect,GAME/EFFECTS.C,633,decompiled,,mapped,0x800937c4,FUN_800937c4,1404,75,7,no,no,adresse Ghidra disponible; 75 caller(s); 7 callee(s); body_size 1404; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
38,P1,11749,0x800937c4,0x80091780,SoundEffect,GAME/EFFECTS.C,891,decompiled,,mapped,0x800937c4,FUN_800937c4,1404,75,7,no,no,adresse Ghidra disponible; 75 caller(s); 7 callee(s); body_size 1404; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
39,P1,6475,0x800383d0,0x80037ed0,CalculateSpotCams,GAME/SPOTCAM.C,429,decompiled,,mapped,0x800383d0,FUN_800383d0,4800,1,13,no,no,adresse Ghidra disponible; 1 caller(s); 13 callee(s); body_size 4800; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
40,P1,5423,0x8007d254,0x8007b210,GetCollisionInfo,SPEC_PSXPC_N/COLLIDE_S.C,475,decompiled,,mapped,0x8007d254,FUN_8007d254,1848,19,7,no,no,adresse Ghidra disponible; 19 caller(s); 7 callee(s); body_size 1848; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
41,P1,4834,0x80036f3c,0x80036a3c,ShatterObject,GAME/DEBRIS.C,54,decompiled,,mapped,0x80036f3c,FUN_80036f3c,2684,7,6,no,no,adresse Ghidra disponible; 7 caller(s); 6 callee(s); body_size 2684; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
42,P1,4799,0x8003bc04,0x8003b7a8,S_CallInventory2,GAME/NEWINV2.C,3153,decompiled,,mapped,0x8003bc04,FUN_8003bc04,2164,2,37,no,no,adresse Ghidra disponible; 2 caller(s); 37 callee(s); body_size 2164; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
43,P1,4768,0x80048de8,0x80048984,DoProperDetection,GAME/LARAFIRE.C,99,decompiled,,mapped,0x80048de8,FUN_80048de8,3288,2,4,no,no,adresse Ghidra disponible; 2 caller(s); 4 callee(s); body_size 3288; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
44,P1,4516,0x8003d7a4,0x8003d350,draw_current_object_list,GAME/NEWINV2.C,1890,decompiled,,mapped,0x8003d7a4,FUN_8003d7a4,3016,1,8,no,no,adresse Ghidra disponible; 1 caller(s); 8 callee(s); body_size 3016; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
45,P1,4154,0x80027fac,0x80027da0,CalculateCamera,GAME/CAMERA.C,1167,decompiled,,mapped,0x80027fac,FUN_80027fac,2204,3,14,no,no,adresse Ghidra disponible; 3 caller(s); 14 callee(s); body_size 2204; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
46,P1,4057,0x8006038c,0x8005f628,S_UpdateInput,SPEC_PSXPC/PSXPCINPUT.C,60,decompiled,,mapped,0x8006038c,FUN_8006038c,2452,5,5,no,no,adresse Ghidra disponible; 5 caller(s); 5 callee(s); body_size 2452; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
47,P1,4015,0x8008fb90,0x8008db4c,PrintString,SPEC_PSXPC_N/TEXT_S.C,196,decompiled,,mapped,0x8008fb90,FUN_8008fb90,580,19,3,no,no,adresse Ghidra disponible; 19 caller(s); 3 callee(s); body_size 580; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
48,P1,3895,0x8004ac9c,0x8004a838,LaraControl,GAME/LARAMISC.C,163,decompiled,,mapped,0x8004ac9c,FUN_8004ac9c,2220,1,13,no,no,adresse Ghidra disponible; 1 caller(s); 13 callee(s); body_size 2220; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
49,P1,3859,0x80033db8,0x800338b8,ControlSmokeEmitter,GAME/EFFECT2.C,51,decompiled,,mapped,0x80033db8,FUN_80033db8,2584,0,5,no,no,adresse Ghidra disponible; 5 callee(s); body_size 2584; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
50,P1,3795,0x8008fb90,0x8008db4c,PrintString,SPEC_PSXPC/FXTRIG.C,7,decompiled,,mapped,0x8008fb90,FUN_8008fb90,580,19,3,no,no,adresse Ghidra disponible; 19 caller(s); 3 callee(s); body_size 580; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
51,P1,3756,0x8005b284,0x8005ae08,ControlRollingBall,GAME/TRAPS.C,476,decompiled,,mapped,0x8005b284,FUN_8005b284,2376,0,8,no,no,adresse Ghidra disponible; 8 callee(s); body_size 2376; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
52,P1,3643,0x80011a48,0x80011998,TestLaraSlide,GAME/LARA.C,6517,decompiled,,mapped,0x80011a48,FUN_80011a48,468,17,1,no,no,adresse Ghidra disponible; 17 caller(s); 1 callee(s); body_size 468; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
53,P1,3579,0x8005cd38,0x8005c8bc,ControlExplosion,GAME/TRAPS.C,654,decompiled,,mapped,0x8005cd38,FUN_8005cd38,1884,0,17,no,no,adresse Ghidra disponible; 17 callee(s); body_size 1884; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
54,P1,3570,0x800347d0,0x800342d0,ControlEnemyMissile,GAME/EFFECT2.C,46,decompiled,,mapped,0x800347d0,FUN_800347d0,1980,0,14,no,no,adresse Ghidra disponible; 14 callee(s); body_size 1980; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
55,P1,3481,0x8008793c,0x800858f8,GetBoundsAccurate,SPEC_PSXPC_N/CALCLARA.C,1909,decompiled,,mapped,0x8008793c,FUN_8008793c,116,19,1,no,no,adresse Ghidra disponible; 19 caller(s); 1 callee(s); body_size 116; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
56,P1,3480,0x80051b2c,0x800516c8,PickUpCollision,GAME/PICKUP.C,235,decompiled,,mapped,0x80051b2c,FUN_80051b2c,2100,0,8,no,no,adresse Ghidra disponible; 8 callee(s); body_size 2100; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
